"date","dataset","reef","site","site.number","management","habitat","unique.id","depth","transect","transect.area","family","species","FG","length.cm","mass.g","biomass.kgha","abundance.500m2"
"11/03/2013","Maldives","Maamendhoo","Huvadhoo",6,"Fished","Exposed","Maamendhoo.Exposed.1",8,1,250,"Scaridae","Chlorurus sordidus","Herbivore Scraper",11,30.72155644,1.228862258,2
"11/03/2013","Maldives","Maamendhoo","Huvadhoo",6,"Fished","Exposed","Maamendhoo.Exposed.1",8,1,250,"Scaridae","Chlorurus sordidus","Herbivore Scraper",12,39.64274309,1.585709724,2
"11/03/2013","Maldives","Maamendhoo","Huvadhoo",6,"Fished","Exposed","Maamendhoo.Exposed.1",8,1,250,"Scaridae","Chlorurus sordidus","Herbivore Scraper",12,39.64274309,1.585709724,2
"11/03/2013","Maldives","Maamendhoo","Huvadhoo",6,"Fished","Exposed","Maamendhoo.Exposed.1",8,1,250,"Scaridae","Chlorurus sordidus","Herbivore Scraper",12,39.64274309,1.585709724,2
"11/03/2013","Maldives","Maamendhoo","Huvadhoo",6,"Fished","Exposed","Maamendhoo.Exposed.1",8,1,250,"Scaridae","Chlorurus sordidus","Herbivore Scraper",13,50.12064708,2.004825883,2
"11/03/2013","Maldives","Maamendhoo","Huvadhoo",6,"Fished","Exposed","Maamendhoo.Exposed.1",8,1,250,"Scaridae","Chlorurus sordidus","Herbivore Scraper",13,50.12064708,2.004825883,2
"11/03/2013","Maldives","Maamendhoo","Huvadhoo",6,"Fished","Exposed","Maamendhoo.Exposed.1",8,1,250,"Scaridae","Chlorurus sordidus","Herbivore Scraper",13,50.12064708,2.004825883,2
"11/03/2013","Maldives","Maamendhoo","Huvadhoo",6,"Fished","Exposed","Maamendhoo.Exposed.1",8,1,250,"Scaridae","Chlorurus sordidus","Herbivore Scraper",13,50.12064708,2.004825883,2
"11/03/2013","Maldives","Maamendhoo","Huvadhoo",6,"Fished","Exposed","Maamendhoo.Exposed.1",8,1,250,"Scaridae","Chlorurus sordidus","Herbivore Scraper",13,50.12064708,2.004825883,2
"11/03/2013","Maldives","Maamendhoo","Huvadhoo",6,"Fished","Exposed","Maamendhoo.Exposed.1",8,1,250,"Scaridae","Chlorurus sordidus","Herbivore Scraper",13,50.12064708,2.004825883,2
"11/03/2013","Maldives","Maamendhoo","Huvadhoo",6,"Fished","Exposed","Maamendhoo.Exposed.1",8,1,250,"Scaridae","Chlorurus sordidus","Herbivore Scraper",13,50.12064708,2.004825883,2
"11/03/2013","Maldives","Maamendhoo","Huvadhoo",6,"Fished","Exposed","Maamendhoo.Exposed.1",8,1,250,"Scaridae","Chlorurus sordidus","Herbivore Scraper",13,50.12064708,2.004825883,2
"11/03/2013","Maldives","Maamendhoo","Huvadhoo",6,"Fished","Exposed","Maamendhoo.Exposed.1",8,1,250,"Scaridae","Chlorurus sordidus","Herbivore Scraper",15,76.22721205,3.049088482,2
"11/03/2013","Maldives","Maamendhoo","Huvadhoo",6,"Fished","Exposed","Maamendhoo.Exposed.1",8,1,250,"Scaridae","Chlorurus sordidus","Herbivore Scraper",20,177.0844938,7.083379752,2
"11/03/2013","Maldives","Maamendhoo","Huvadhoo",6,"Fished","Exposed","Maamendhoo.Exposed.1",8,1,250,"Scaridae","Chlorurus sordidus","Herbivore Scraper",22,234.1321762,9.365287049,2
"11/03/2013","Maldives","Maamendhoo","Huvadhoo",6,"Fished","Exposed","Maamendhoo.Exposed.1",8,1,250,"Scaridae","Chlorurus sordidus","Herbivore Scraper",28,474.6086824,18.9843473,2
"11/03/2013","Maldives","Maamendhoo","Huvadhoo",6,"Fished","Exposed","Maamendhoo.Exposed.1",8,1,250,"Scaridae","Chlorurus sordidus","Herbivore Scraper",30,580.9355095,23.23742038,2
"11/03/2013","Maldives","Maamendhoo","Huvadhoo",6,"Fished","Exposed","Maamendhoo.Exposed.1",8,1,250,"Scaridae","Chlorurus sordidus","Herbivore Scraper",30,580.9355095,23.23742038,2
"11/03/2013","Maldives","Maamendhoo","Huvadhoo",6,"Fished","Exposed","Maamendhoo.Exposed.1",8,1,250,"Scaridae","Chlorurus sordidus","Herbivore Scraper",32,701.862572,28.07450288,2
"11/03/2013","Maldives","Maamendhoo","Huvadhoo",6,"Fished","Exposed","Maamendhoo.Exposed.1",8,1,250,"Scaridae","Chlorurus sordidus","Herbivore Scraper",34,838.2930662,33.53172265,2
"11/03/2013","Maldives","Maamendhoo","Huvadhoo",6,"Fished","Exposed","Maamendhoo.Exposed.1",8,1,250,"Scaridae","Scarus frenatus","Herbivore Scraper",12,55.96272019,2.238508808,2
"11/03/2013","Maldives","Maamendhoo","Huvadhoo",6,"Fished","Exposed","Maamendhoo.Exposed.1",8,1,250,"Scaridae","Scarus frenatus","Herbivore Scraper",13,71.4942083,2.859768332,2
"11/03/2013","Maldives","Maamendhoo","Huvadhoo",6,"Fished","Exposed","Maamendhoo.Exposed.1",8,1,250,"Scaridae","Scarus frenatus","Herbivore Scraper",13,71.4942083,2.859768332,2
"11/03/2013","Maldives","Maamendhoo","Huvadhoo",6,"Fished","Exposed","Maamendhoo.Exposed.1",8,1,250,"Scaridae","Scarus frenatus","Herbivore Scraper",29,832.8026086,33.31210434,2
"11/03/2013","Maldives","Maamendhoo","Huvadhoo",6,"Fished","Exposed","Maamendhoo.Exposed.1",8,1,250,"Scaridae","Scarus scaber","Herbivore Scraper",16,86.50451245,3.460180498,2
"11/03/2013","Maldives","Maamendhoo","Huvadhoo",6,"Fished","Exposed","Maamendhoo.Exposed.2",8,2,250,"Acanthuridae","Acanthurus leucosternon","Herbivore Grazer",10,23.84328188,0.953731275,2
"11/03/2013","Maldives","Maamendhoo","Huvadhoo",6,"Fished","Exposed","Maamendhoo.Exposed.2",8,2,250,"Acanthuridae","Acanthurus leucosternon","Herbivore Grazer",10,23.84328188,0.953731275,2
"11/03/2013","Maldives","Maamendhoo","Huvadhoo",6,"Fished","Exposed","Maamendhoo.Exposed.2",8,2,250,"Acanthuridae","Acanthurus leucosternon","Herbivore Grazer",12,40.61200704,1.624480282,2
"11/03/2013","Maldives","Maamendhoo","Huvadhoo",6,"Fished","Exposed","Maamendhoo.Exposed.2",8,2,250,"Acanthuridae","Acanthurus leucosternon","Herbivore Grazer",12,40.61200704,1.624480282,2
"11/03/2013","Maldives","Maamendhoo","Huvadhoo",6,"Fished","Exposed","Maamendhoo.Exposed.2",8,2,250,"Acanthuridae","Acanthurus leucosternon","Herbivore Grazer",12,40.61200704,1.624480282,2
"11/03/2013","Maldives","Maamendhoo","Huvadhoo",6,"Fished","Exposed","Maamendhoo.Exposed.2",8,2,250,"Acanthuridae","Acanthurus leucosternon","Herbivore Grazer",12,40.61200704,1.624480282,2
"11/03/2013","Maldives","Maamendhoo","Huvadhoo",6,"Fished","Exposed","Maamendhoo.Exposed.2",8,2,250,"Acanthuridae","Acanthurus leucosternon","Herbivore Grazer",12,40.61200704,1.624480282,2
"11/03/2013","Maldives","Maamendhoo","Huvadhoo",6,"Fished","Exposed","Maamendhoo.Exposed.2",8,2,250,"Acanthuridae","Acanthurus leucosternon","Herbivore Grazer",12,40.61200704,1.624480282,2
"11/03/2013","Maldives","Maamendhoo","Huvadhoo",6,"Fished","Exposed","Maamendhoo.Exposed.2",8,2,250,"Acanthuridae","Acanthurus leucosternon","Herbivore Grazer",12,40.61200704,1.624480282,2
"11/03/2013","Maldives","Maamendhoo","Huvadhoo",6,"Fished","Exposed","Maamendhoo.Exposed.2",8,2,250,"Acanthuridae","Acanthurus leucosternon","Herbivore Grazer",13,51.30911989,2.052364796,2
"11/03/2013","Maldives","Maamendhoo","Huvadhoo",6,"Fished","Exposed","Maamendhoo.Exposed.2",8,2,250,"Acanthuridae","Acanthurus leucosternon","Herbivore Grazer",13,51.30911989,2.052364796,2
"11/03/2013","Maldives","Maamendhoo","Huvadhoo",6,"Fished","Exposed","Maamendhoo.Exposed.2",8,2,250,"Acanthuridae","Acanthurus leucosternon","Herbivore Grazer",13,51.30911989,2.052364796,2
"11/03/2013","Maldives","Maamendhoo","Huvadhoo",6,"Fished","Exposed","Maamendhoo.Exposed.2",8,2,250,"Acanthuridae","Acanthurus nigrofuscus","Herbivore Grazer",12,47.91784216,1.916713686,2
"11/03/2013","Maldives","Maamendhoo","Huvadhoo",6,"Fished","Exposed","Maamendhoo.Exposed.2",8,2,250,"Acanthuridae","Acanthurus nigrofuscus","Herbivore Grazer",13,60.76261022,2.430504409,2
"11/03/2013","Maldives","Maamendhoo","Huvadhoo",6,"Fished","Exposed","Maamendhoo.Exposed.2",8,2,250,"Acanthuridae","Acanthurus nigrofuscus","Herbivore Grazer",13,60.76261022,2.430504409,2
"11/03/2013","Maldives","Maamendhoo","Huvadhoo",6,"Fished","Exposed","Maamendhoo.Exposed.2",8,2,250,"Acanthuridae","Acanthurus nigrofuscus","Herbivore Grazer",13,60.76261022,2.430504409,2
"11/03/2013","Maldives","Maamendhoo","Huvadhoo",6,"Fished","Exposed","Maamendhoo.Exposed.2",8,2,250,"Acanthuridae","Acanthurus nigrofuscus","Herbivore Grazer",13,60.76261022,2.430504409,2
"11/03/2013","Maldives","Maamendhoo","Huvadhoo",6,"Fished","Exposed","Maamendhoo.Exposed.2",8,2,250,"Acanthuridae","Acanthurus nigrofuscus","Herbivore Grazer",14,75.70566479,3.028226592,2
"11/03/2013","Maldives","Maamendhoo","Huvadhoo",6,"Fished","Exposed","Maamendhoo.Exposed.2",8,2,250,"Acanthuridae","Acanthurus nigrofuscus","Herbivore Grazer",14,75.70566479,3.028226592,2
"11/03/2013","Maldives","Maamendhoo","Huvadhoo",6,"Fished","Exposed","Maamendhoo.Exposed.2",8,2,250,"Acanthuridae","Acanthurus nigrofuscus","Herbivore Grazer",14,75.70566479,3.028226592,2
"11/03/2013","Maldives","Maamendhoo","Huvadhoo",6,"Fished","Exposed","Maamendhoo.Exposed.2",8,2,250,"Acanthuridae","Ctenochaetus striatus","Herbivore Grazer",13,59.8053786,2.392215144,2
"11/03/2013","Maldives","Maamendhoo","Huvadhoo",6,"Fished","Exposed","Maamendhoo.Exposed.2",8,2,250,"Acanthuridae","Ctenochaetus striatus","Herbivore Grazer",13,59.8053786,2.392215144,2
"11/03/2013","Maldives","Maamendhoo","Huvadhoo",6,"Fished","Exposed","Maamendhoo.Exposed.2",8,2,250,"Acanthuridae","Ctenochaetus striatus","Herbivore Grazer",14,74.84508408,2.993803363,2
"11/03/2013","Maldives","Maamendhoo","Huvadhoo",6,"Fished","Exposed","Maamendhoo.Exposed.2",8,2,250,"Acanthuridae","Ctenochaetus truncatus","Detritivore",10,31.51265674,1.26050627,2
"11/03/2013","Maldives","Maamendhoo","Huvadhoo",6,"Fished","Exposed","Maamendhoo.Exposed.2",8,2,250,"Acanthuridae","Ctenochaetus truncatus","Detritivore",10,31.51265674,1.26050627,2
"11/03/2013","Maldives","Maamendhoo","Huvadhoo",6,"Fished","Exposed","Maamendhoo.Exposed.2",8,2,250,"Acanthuridae","Ctenochaetus truncatus","Detritivore",10,31.51265674,1.26050627,2
"11/03/2013","Maldives","Maamendhoo","Huvadhoo",6,"Fished","Exposed","Maamendhoo.Exposed.2",8,2,250,"Acanthuridae","Ctenochaetus truncatus","Detritivore",11,40.33592989,1.613437196,2
"11/03/2013","Maldives","Maamendhoo","Huvadhoo",6,"Fished","Exposed","Maamendhoo.Exposed.2",8,2,250,"Acanthuridae","Ctenochaetus truncatus","Detritivore",11,40.33592989,1.613437196,2
"11/03/2013","Maldives","Maamendhoo","Huvadhoo",6,"Fished","Exposed","Maamendhoo.Exposed.2",8,2,250,"Acanthuridae","Zebrasoma scopas","Herbivore Grazer",11,36.4982258,1.459929032,2
"11/03/2013","Maldives","Maamendhoo","Huvadhoo",6,"Fished","Exposed","Maamendhoo.Exposed.2",8,2,250,"scaridae","Chlorurus sordidus","Herbivore Scraper",11,30.72155644,1.228862258,2
"11/03/2013","Maldives","Maamendhoo","Huvadhoo",6,"Fished","Exposed","Maamendhoo.Exposed.2",8,2,250,"scaridae","Chlorurus sordidus","Herbivore Scraper",12,39.64274309,1.585709724,2
"11/03/2013","Maldives","Maamendhoo","Huvadhoo",6,"Fished","Exposed","Maamendhoo.Exposed.2",8,2,250,"scaridae","Chlorurus sordidus","Herbivore Scraper",12,39.64274309,1.585709724,2
"11/03/2013","Maldives","Maamendhoo","Huvadhoo",6,"Fished","Exposed","Maamendhoo.Exposed.2",8,2,250,"scaridae","Chlorurus sordidus","Herbivore Scraper",12,39.64274309,1.585709724,2
"11/03/2013","Maldives","Maamendhoo","Huvadhoo",6,"Fished","Exposed","Maamendhoo.Exposed.2",8,2,250,"scaridae","Chlorurus sordidus","Herbivore Scraper",13,50.12064708,2.004825883,2
"11/03/2013","Maldives","Maamendhoo","Huvadhoo",6,"Fished","Exposed","Maamendhoo.Exposed.2",8,2,250,"scaridae","Chlorurus sordidus","Herbivore Scraper",13,50.12064708,2.004825883,2
"11/03/2013","Maldives","Maamendhoo","Huvadhoo",6,"Fished","Exposed","Maamendhoo.Exposed.2",8,2,250,"scaridae","Chlorurus sordidus","Herbivore Scraper",13,50.12064708,2.004825883,2
"11/03/2013","Maldives","Maamendhoo","Huvadhoo",6,"Fished","Exposed","Maamendhoo.Exposed.2",8,2,250,"scaridae","Chlorurus sordidus","Herbivore Scraper",13,50.12064708,2.004825883,2
"11/03/2013","Maldives","Maamendhoo","Huvadhoo",6,"Fished","Exposed","Maamendhoo.Exposed.2",8,2,250,"scaridae","Chlorurus sordidus","Herbivore Scraper",13,50.12064708,2.004825883,2
"11/03/2013","Maldives","Maamendhoo","Huvadhoo",6,"Fished","Exposed","Maamendhoo.Exposed.2",8,2,250,"scaridae","Chlorurus sordidus","Herbivore Scraper",13,50.12064708,2.004825883,2
"11/03/2013","Maldives","Maamendhoo","Huvadhoo",6,"Fished","Exposed","Maamendhoo.Exposed.2",8,2,250,"scaridae","Chlorurus sordidus","Herbivore Scraper",14,62.27558152,2.491023261,2
"11/03/2013","Maldives","Maamendhoo","Huvadhoo",6,"Fished","Exposed","Maamendhoo.Exposed.2",8,2,250,"scaridae","Chlorurus sordidus","Herbivore Scraper",14,62.27558152,2.491023261,2
"11/03/2013","Maldives","Maamendhoo","Huvadhoo",6,"Fished","Exposed","Maamendhoo.Exposed.2",8,2,250,"scaridae","Chlorurus sordidus","Herbivore Scraper",14,62.27558152,2.491023261,2
"11/03/2013","Maldives","Maamendhoo","Huvadhoo",6,"Fished","Exposed","Maamendhoo.Exposed.2",8,2,250,"scaridae","Chlorurus sordidus","Herbivore Scraper",15,76.22721205,3.049088482,2
"11/03/2013","Maldives","Maamendhoo","Huvadhoo",6,"Fished","Exposed","Maamendhoo.Exposed.2",8,2,250,"scaridae","Chlorurus sordidus","Herbivore Scraper",30,580.9355095,23.23742038,2
"11/03/2013","Maldives","Maamendhoo","Huvadhoo",6,"Fished","Exposed","Maamendhoo.Exposed.2",8,2,250,"scaridae","Scarus niger","Herbivore Scraper",10,19.60145656,0.784058262,2
"11/03/2013","Maldives","Maamendhoo","Huvadhoo",6,"Fished","Exposed","Maamendhoo.Exposed.2",8,2,250,"scaridae","Scarus scaber","Herbivore Scraper",27,411.79372,16.4717488,2
"11/03/2013","Maldives","Maamendhoo","Huvadhoo",6,"Fished","Exposed","Maamendhoo.Exposed.2",8,2,250,"scaridae","Scarus tricolor","Herbivore Scraper",25,327.3482928,13.09393171,2
"11/03/2013","Maldives","Maamendhoo","Huvadhoo",6,"Fished","Exposed","Maamendhoo.Exposed.3",8,3,250,"Acanthuridae","Acanthurus leucosternon","Herbivore Grazer",12,40.61200704,1.624480282,2
"11/03/2013","Maldives","Maamendhoo","Huvadhoo",6,"Fished","Exposed","Maamendhoo.Exposed.3",8,3,250,"Acanthuridae","Acanthurus leucosternon","Herbivore Grazer",13,51.30911989,2.052364796,2
"11/03/2013","Maldives","Maamendhoo","Huvadhoo",6,"Fished","Exposed","Maamendhoo.Exposed.3",8,3,250,"Acanthuridae","Acanthurus leucosternon","Herbivore Grazer",13,51.30911989,2.052364796,2
"11/03/2013","Maldives","Maamendhoo","Huvadhoo",6,"Fished","Exposed","Maamendhoo.Exposed.3",8,3,250,"Acanthuridae","Acanthurus leucosternon","Herbivore Grazer",13,51.30911989,2.052364796,2
"11/03/2013","Maldives","Maamendhoo","Huvadhoo",6,"Fished","Exposed","Maamendhoo.Exposed.3",8,3,250,"Acanthuridae","Acanthurus leucosternon","Herbivore Grazer",14,63.70976826,2.54839073,2
"11/03/2013","Maldives","Maamendhoo","Huvadhoo",6,"Fished","Exposed","Maamendhoo.Exposed.3",8,3,250,"Acanthuridae","Acanthurus leucosternon","Herbivore Grazer",14,63.70976826,2.54839073,2
"11/03/2013","Maldives","Maamendhoo","Huvadhoo",6,"Fished","Exposed","Maamendhoo.Exposed.3",8,3,250,"Acanthuridae","Acanthurus leucosternon","Herbivore Grazer",14,63.70976826,2.54839073,2
"11/03/2013","Maldives","Maamendhoo","Huvadhoo",6,"Fished","Exposed","Maamendhoo.Exposed.3",8,3,250,"Acanthuridae","Acanthurus leucosternon","Herbivore Grazer",15,77.93429316,3.117371726,2
"11/03/2013","Maldives","Maamendhoo","Huvadhoo",6,"Fished","Exposed","Maamendhoo.Exposed.3",8,3,250,"Acanthuridae","Ctenochaetus striatus","Herbivore Grazer",14,74.84508408,2.993803363,2
"11/03/2013","Maldives","Maamendhoo","Huvadhoo",6,"Fished","Exposed","Maamendhoo.Exposed.3",8,3,250,"Acanthuridae","Ctenochaetus truncatus","Detritivore",13,62.17249575,2.48689983,2
"11/03/2013","Maldives","Maamendhoo","Huvadhoo",6,"Fished","Exposed","Maamendhoo.Exposed.3",8,3,250,"Acanthuridae","Ctenochaetus truncatus","Detritivore",13,62.17249575,2.48689983,2
"11/03/2013","Maldives","Maamendhoo","Huvadhoo",6,"Fished","Exposed","Maamendhoo.Exposed.3",8,3,250,"Acanthuridae","Ctenochaetus truncatus","Detritivore",13,62.17249575,2.48689983,2
"11/03/2013","Maldives","Maamendhoo","Huvadhoo",6,"Fished","Exposed","Maamendhoo.Exposed.3",8,3,250,"Acanthuridae","Ctenochaetus truncatus","Detritivore",13,62.17249575,2.48689983,2
"11/03/2013","Maldives","Maamendhoo","Huvadhoo",6,"Fished","Exposed","Maamendhoo.Exposed.3",8,3,250,"Acanthuridae","Ctenochaetus truncatus","Detritivore",13,62.17249575,2.48689983,2
"11/03/2013","Maldives","Maamendhoo","Huvadhoo",6,"Fished","Exposed","Maamendhoo.Exposed.3",8,3,250,"Acanthuridae","Ctenochaetus truncatus","Detritivore",13,62.17249575,2.48689983,2
"11/03/2013","Maldives","Maamendhoo","Huvadhoo",6,"Fished","Exposed","Maamendhoo.Exposed.3",8,3,250,"Acanthuridae","Ctenochaetus truncatus","Detritivore",13,62.17249575,2.48689983,2
"11/03/2013","Maldives","Maamendhoo","Huvadhoo",6,"Fished","Exposed","Maamendhoo.Exposed.3",8,3,250,"Acanthuridae","Ctenochaetus truncatus","Detritivore",13,62.17249575,2.48689983,2
"11/03/2013","Maldives","Maamendhoo","Huvadhoo",6,"Fished","Exposed","Maamendhoo.Exposed.3",8,3,250,"Acanthuridae","Ctenochaetus truncatus","Detritivore",13,62.17249575,2.48689983,2
"11/03/2013","Maldives","Maamendhoo","Huvadhoo",6,"Fished","Exposed","Maamendhoo.Exposed.3",8,3,250,"Acanthuridae","Ctenochaetus truncatus","Detritivore",13,62.17249575,2.48689983,2
"11/03/2013","Maldives","Maamendhoo","Huvadhoo",6,"Fished","Exposed","Maamendhoo.Exposed.3",8,3,250,"Acanthuridae","Ctenochaetus truncatus","Detritivore",13,62.17249575,2.48689983,2
"11/03/2013","Maldives","Maamendhoo","Huvadhoo",6,"Fished","Exposed","Maamendhoo.Exposed.3",8,3,250,"Acanthuridae","Ctenochaetus truncatus","Detritivore",13,62.17249575,2.48689983,2
"11/03/2013","Maldives","Maamendhoo","Huvadhoo",6,"Fished","Exposed","Maamendhoo.Exposed.3",8,3,250,"Acanthuridae","Ctenochaetus truncatus","Detritivore",14,75.32803373,3.013121349,2
"11/03/2013","Maldives","Maamendhoo","Huvadhoo",6,"Fished","Exposed","Maamendhoo.Exposed.3",8,3,250,"Acanthuridae","Zebrasoma scopas","Herbivore Grazer",12,47.20766591,1.888306637,2
"11/03/2013","Maldives","Maamendhoo","Huvadhoo",6,"Fished","Exposed","Maamendhoo.Exposed.3",8,3,250,"Acanthuridae","Zebrasoma scopas","Herbivore Grazer",13,59.8141694,2.392566776,2
"11/03/2013","Maldives","Maamendhoo","Huvadhoo",6,"Fished","Exposed","Maamendhoo.Exposed.3",8,3,250,"scaridae","Chlorurus sordidus","Herbivore Scraper",13,50.12064708,2.004825883,2
"11/03/2013","Maldives","Maamendhoo","Huvadhoo",6,"Fished","Exposed","Maamendhoo.Exposed.3",8,3,250,"scaridae","Chlorurus sordidus","Herbivore Scraper",14,62.27558152,2.491023261,2
"11/03/2013","Maldives","Maamendhoo","Huvadhoo",6,"Fished","Exposed","Maamendhoo.Exposed.3",8,3,250,"scaridae","Chlorurus sordidus","Herbivore Scraper",14,62.27558152,2.491023261,2
"11/03/2013","Maldives","Maamendhoo","Huvadhoo",6,"Fished","Exposed","Maamendhoo.Exposed.3",8,3,250,"scaridae","Chlorurus sordidus","Herbivore Scraper",16,92.09460642,3.683784257,2
"11/03/2013","Maldives","Maamendhoo","Huvadhoo",6,"Fished","Exposed","Maamendhoo.Exposed.3",8,3,250,"scaridae","Chlorurus sordidus","Herbivore Scraper",17,109.9962772,4.399851087,2
"11/03/2013","Maldives","Maamendhoo","Huvadhoo",6,"Fished","Exposed","Maamendhoo.Exposed.3",8,3,250,"scaridae","Chlorurus sordidus","Herbivore Scraper",27,426.6369599,17.0654784,2
"11/03/2013","Maldives","Maamendhoo","Huvadhoo",6,"Fished","Exposed","Maamendhoo.Exposed.3",8,3,250,"scaridae","Chlorurus sordidus","Herbivore Scraper",27,426.6369599,17.0654784,2
"11/03/2013","Maldives","Maamendhoo","Huvadhoo",6,"Fished","Exposed","Maamendhoo.Exposed.3",8,3,250,"scaridae","Chlorurus sordidus","Herbivore Scraper",27,426.6369599,17.0654784,2
"11/03/2013","Maldives","Maamendhoo","Huvadhoo",6,"Fished","Exposed","Maamendhoo.Exposed.3",8,3,250,"scaridae","Chlorurus sordidus","Herbivore Scraper",27,426.6369599,17.0654784,2
"11/03/2013","Maldives","Maamendhoo","Huvadhoo",6,"Fished","Exposed","Maamendhoo.Exposed.3",8,3,250,"scaridae","Chlorurus sordidus","Herbivore Scraper",27,426.6369599,17.0654784,2
"11/03/2013","Maldives","Maamendhoo","Huvadhoo",6,"Fished","Exposed","Maamendhoo.Exposed.3",8,3,250,"scaridae","Scarus frenatus","Herbivore Scraper",19,228.3443248,9.133772991,2
"11/03/2013","Maldives","Maamendhoo","Huvadhoo",6,"Fished","Exposed","Maamendhoo.Exposed.3",8,3,250,"scaridae","Scarus frenatus","Herbivore Scraper",20,267.1504992,10.68601997,2
"12/03/2013","Maldives","Maamendhoo","Huvadhoo",6,"Fished","Exposed","Maamendhoo.Exposed.4",8,4,250,"Acanthuridae","Acanthurus leucosternon","Herbivore Grazer",11,31.49735363,1.259894145,2
"12/03/2013","Maldives","Maamendhoo","Huvadhoo",6,"Fished","Exposed","Maamendhoo.Exposed.4",8,4,250,"Acanthuridae","Acanthurus leucosternon","Herbivore Grazer",13,51.30911989,2.052364796,2
"12/03/2013","Maldives","Maamendhoo","Huvadhoo",6,"Fished","Exposed","Maamendhoo.Exposed.4",8,4,250,"Acanthuridae","Acanthurus leucosternon","Herbivore Grazer",13,51.30911989,2.052364796,2
