location,habitat,count,year,struc complexity,Line inter total,Line inter Coraline algae,Line inter Sand,Line inter Soft,Line inter Rubble,Line inter Rock,Line inter Branch dead,Line inter Massive dead,Line inter Sargassum,Line inter Asparagopsis,Line inter Caulerpa,Line inter Red corticated,Line inter Galaxora,Line inter Lobophyta,Line inter turtle grass,Line inter Halimeda,Line inter Turbinaria_macroalgae,Line inter Dictyota,Line inter Dictyopteris,Line inter Padina,Line inter Acanthastrea,Line inter Acropora,Line inter Astreopora,Line inter Coscinarea,Line inter Cyphastrea,Line inter Diplastrea,Line inter Echimopora,Line inter Euphyllia,Line inter Favia,Line inter Favites,Line inter Fungia,Line inter Galaxea,Line inter Goniastrea,Line inter Goniopora,Line inter Hydnophora,Line inter Leptatsrea,Line inter Leptoria,Line inter Lobopyhlia,Line inter Millipora,Line inter Montastrea,Line inter Montipora,Line inter Pavona,Line inter Platygyra,Line inter Pocilopora,Line inter Porites,Line inter Porites branching,Line inter Psamocra,Line inter Stylophora,Line inter Symphilia,Line inter Tubiastrea,Line inter Tubipora,Line inter Turbinaria,Line inter sponge,Line inter Palythoa,Line inter seagrass,Line inter Heliopora,Line inter Alveopora,Line inter Herpolitha,Line inter Isopora,Line inter Leptoseris,Line inter Physogyra,Line inter Siderastrea,Line inter Stylocoeniella,Line inter Coralimorph,Line inter cyanobacteria
Mahe W Granite,Granite,3,2008,3.5,10,0,0,0,1.8,7.1,0,0,0,0,0,0,0,0,0,0,0,0,,0,0.1,0.3,0.1,0,0,0,0,0,0.4,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mahe W Granite,Granite,4,2008,3,10,0,0,0,3.3,5.5,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0.3,0,0,0,0,0.5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mahe W Granite,Granite,5,2008,3,10,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,,0,0.1,0,0,0,0,0,0,0,0.4,0,0,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0
Mahe W Granite,Granite,6,2008,2.5,10,0,0.2,0,0.7,7.6,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.2,0,0,0,0,0,0,0.5,0,0,0,0,0.1,0,0,0,0,0,0,0.2,0,0,0.1,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mahe W Granite,Granite,7,2008,2,10,0,1,0,0,6.7,0,0,0,0,0,0,0,0,0,0,0,0,,0,0.1,0.1,0,0.1,0,0,0,0,1.2,0.1,0,0,0,0.1,0,0,0,0,0,0.1,0,0,0,0.2,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mahe W Granite,Granite,8,2008,2.5,10,0,0,0.1,0,7.8,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,1.1,0,0,0,0.1,0,0.5,0,0.1,0,0,0,0.1,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mahe W Granite,Granite,9,2008,2.5,10,0,0,0.1,2.1,5.3,0,0,0,0,0,0,0,0,0,0,0,0,,0,0.3,0.3,0,0,0,0,0,0,0.5,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mahe W Granite,Granite,10,2008,2,10,0,0,0,0,7.7,0,0,0,0,0,0,0,0,0,0,0,0,,0,0.1,0,0.1,0,0,0,0,0,1.3,0.3,0,0,0,0,0,0.1,0,0,0,0,0.1,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mahe W Granite,Granite,11,2008,3,10,0,2.7,0,0.4,5,0.1,0,0,0,0,0,0,0,0,0,0,0,,0,0.1,0.4,0,0,0,0,0,0,0.8,0.1,0,0,0,0.1,0,0.1,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mahe W Granite,Granite,12,2008,2.5,10,0,2.5,0,0.8,5.1,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.3,0,0,0,0,0,0,0.4,0.4,0,0,0,0,0,0.1,0,0,0,0.1,0.1,0,0,0,0.1,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0
Mahe W Granite,Granite,13,2008,3,10,0,2.6,0.5,0.7,5.3,0,0,0,0,0,0,0,0,0,0,0,0,,0,0.1,0,0,0,0,0,0,0,0.4,0.2,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mahe W Granite,Granite,14,2008,1,10,0,0,0,0,8.5,0,0,0,0,0,0,0,0,0,0,0,0,,0,0.1,0,0,0,0,0,0,0,0.2,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mahe W Granite,Granite,15,2008,1,10,0,0,0,0,5.8,0,0,0,0,0,0,0,0,0,0,0,0,,0,0.5,0,0,0,0,0,0.1,0,1.9,1.1,0,0,0,0,0.1,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0
Mahe W Granite,Granite,16,2008,1,10,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,,0,0.1,0,0,0,0,0,0,0,0.2,2.1,0,0,0,0,0.3,0.2,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mahe W Carbonate,Carbonate,1,2008,1.5,10,0,0,0,7.4,0.1,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.6,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0.1,0,0.8,0,0,0,0,0,0.3,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mahe W Carbonate,Carbonate,2,2008,2.5,10,0,0,0,7.2,0,0,2.2,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0.2,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mahe W Carbonate,Carbonate,3,2008,2,10,0,0,0,7.9,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,1.7,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0
Mahe W Carbonate,Carbonate,4,2008,3.5,10,0,0.2,0,5.1,0.6,0,0.6,0,0,0,0,0,0,0,0,0,0,,0,0,0.3,0,0,0,1.2,0,0.1,0,0,0,0,0.1,0.1,0,0,0,0,0.2,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mahe W Carbonate,Carbonate,5,2008,2.5,10,0,3.2,0,4.7,1,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mahe W Carbonate,Carbonate,6,2008,2,10,0,0,0,6,0.2,0,2.7,0,0,0,0,0,0,0,0,0,0,,0,0,0.1,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0.1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mahe W Carbonate,Carbonate,7,2008,2,10,0,0.5,0,5.6,0.6,0,1.8,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0.3,0,0,0.1,0,0,0,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mahe W Carbonate,Carbonate,8,2008,3,10,0,0,0,4,0,0,3.2,0,0,0,0,0,0,0,0,0,0,,0,0,0.2,0,0.1,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0.1,0.1,0,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mahe W Patch,Patch,1,2008,2.5,10,0,2.3,0,2.7,1.1,0,0.7,0,0,0,0,0,0,0,0,0,0,,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mahe W Patch,Patch,2,2008,1.5,10,0,3.8,0,5.1,0.3,0,0.3,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mahe W Patch,Patch,3,2008,2,10,0,3.5,0,4.3,0.8,0,0.7,0,0,0,0,0,0,0,0,0,0,,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mahe W Patch,Patch,4,2008,2.5,10,0,2,0,3,1,0.4,2,0,0,0,0,0,0,0,0,0,0,,0,0,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mahe W Patch,Patch,5,2008,1.5,10,0,3.1,0,1.8,3.5,0.3,0.5,0,0,0,0,0,0,0,0,0,0,,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0.2,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mahe W Patch,Patch,6,2008,3,10,0,0,0,0.2,6.3,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1.4,0,0,0,0,0,0,0.2,0.2,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,1.1,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0
Mahe W Patch,Patch,7,2008,1.5,10,0,0.7,0,0.8,6.5,0.1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.2,0,0,0,0,0,0,0.1,0.1,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mahe W Patch,Patch,8,2008,2,10,0,3.2,0,1.8,0.8,0,0.3,0,0,0,0,0,0,0,0,0,0,,0,0,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mahe W Carbonate,Carbonate,9,2008,2.5,10,0,0.2,0,4.2,2,0,0.3,0,0,0,0,0,0,0,0,0,0,,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0.2,0,0.1,0.1,0,0,0,0,0,0,0,0,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mahe W Carbonate,Carbonate,10,2008,3,10,0,1,0,1.2,2.7,0,0.5,0,0,0,0,0,0,0,0,0,0,,0,0,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mahe W Carbonate,Carbonate,11,2008,1.5,10,0,0,0,3.2,5,0.3,0,0,0,0,0,0,0,0,0,0,0,,0,0,1.1,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mahe W Carbonate,Carbonate,12,2008,1.5,10,0,4.6,0,2.9,1.8,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0.2,0.1,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mahe W Carbonate,Carbonate,13,2008,2,10,0,0,0,6.5,2.9,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.1,0,0,0,0,0,0,0.2,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mahe W Carbonate,Carbonate,14,2008,3,10,0,0.9,0,3,2.6,0.3,0,0,0,0,0,0,0,0,0,0,0,,0,0,1.8,0,0,0,0,0,0,0.1,0.2,0,0,0.1,0,0,0,0,0,0,0,0,0.1,0,0.1,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mahe W Carbonate,Carbonate,15,2008,3,10,0,1.4,0,2.5,1.6,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1.6,0,0,0,0,0,0,0,0.4,0,0,0,0.1,0.4,0,0,0,0,0.1,0,0,0,0,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mahe W Carbonate,Carbonate,16,2008,3,10,0,0.3,0,4.2,1.5,0,2.9,0,0,0,0,0,0,0,0,0,0,,0,0,0.1,0,0,0,0,0,0,0.1,0.1,0,0.1,0,0.1,0,0,0,0,0,0,0.1,0.1,0.1,0,0.2,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0
Mahe W Patch,Patch,9,2008,1.5,10,0,2,0,5.9,0.7,0,0.3,0,0,0,0,0,0,0,0,0,0,,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mahe W Patch,Patch,10,2008,2.5,10,0,1,0,6.6,0.6,0.2,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.4,0,0,0.1,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mahe W Patch,Patch,11,2008,2,10,0,2.5,0,5.6,0.8,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0.2,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mahe W Patch,Patch,12,2008,2,10,0,0.3,0,7.7,1,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.7,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mahe W Patch,Patch,13,2008,3,10,0,0.3,0,4.8,0.7,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,3.8,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mahe W Patch,Patch,14,2008,2.5,10,0,0.5,0,5.9,0.2,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1.4,0,0,0.1,0,0,0,0,0.8,0,0,0.1,0.2,0,0,0,0,0,0,0,0,0,0.1,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mahe W Patch,Patch,15,2008,2,10,0,6,0,2.2,0.9,0,0,0,0,0,0,0,0,0,0,0,0,,0,0.1,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0.1,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mahe W Patch,Patch,16,2008,1,10,0,0,0,0,7.8,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.9,0,0,0,0,0,0,0,0.3,0,0,0,0.1,0.1,0,0,0,0,0,0,0,0.1,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mahe NW Carbonate,Carbonate,1,2008,2,10,0,2.9,0,3.1,3.9,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mahe NW Carbonate,Carbonate,2,2008,1.5,10,0,0.5,0,8.3,1,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mahe NW Carbonate,Carbonate,3,2008,3,10,0,0,0,5.1,3.1,0,0.5,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,1,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0
Mahe NW Carbonate,Carbonate,4,2008,3,10,0,1.8,0,3.4,4.2,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0.1,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mahe NW Carbonate,Carbonate,5,2008,3,10,0.2,0,0.2,5.2,3.2,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.2,0,0,0,0,0,0.2,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0.2,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mahe NW Carbonate,Carbonate,6,2008,2.5,10,0,0.3,0,8,1.2,0.1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.1,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mahe NW Carbonate,Carbonate,7,2008,3,10,0.8,0,0.4,5.6,0.4,0,1.7,0,0,0,0,0,0,0,0,0,0,,0,0,0.6,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0.1,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mahe NW Carbonate,Carbonate,8,2008,2.5,10,0.1,0,0,6.2,0,0,2.3,0,0,0,0,0,0,0,0,0,0,,0,0,0.5,0,0,0,0,0,0,0,0.1,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mahe NW Carbonate,Carbonate,9,2008,2.5,10,0,0.3,0,4.9,0.7,0,3.2,0,0,0,0,0,0,0,0,0,0,,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0.1,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mahe NW Carbonate,Carbonate,10,2008,3,10,0.2,2.2,0,3.3,0,0,4.1,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mahe NW Carbonate,Carbonate,11,2008,2.5,10,0,0.4,0,5.9,0,1.1,2.4,0,0,0,0,0,0,0,0,0,0,,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mahe NW Carbonate,Carbonate,12,2008,2.5,10,0.1,0.2,0,5.7,0,2.3,1.1,0,0,0,0,0,0,0,0,0,0,,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mahe NW Carbonate,Carbonate,13,2008,2,10,0,0.6,0,5.6,0.4,1.8,0.4,0,0,0,0,0,0,0,0,0,0,,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mahe NW Carbonate,Carbonate,14,2008,2.5,10,1,0,0.5,2.5,0,1.2,4.2,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0.2,0,0,0,0,0,0,0,0,0,0.1,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mahe NW Carbonate,Carbonate,15,2008,3,10,0,0,0.3,5.5,0,1.5,1.9,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0.2,0.1,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mahe NW Carbonate,Carbonate,16,2008,2,10,0.2,0,0,8.7,0,0.3,0.4,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0.1,0,0.1,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mahe NW Patch,Patch,9,2008,3,10,0,0,0.5,2.1,0,0.4,4,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mahe NW Patch,Patch,10,2008,2.5,10,0.1,0.8,0.9,3.2,0,0,4,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0
Mahe NW Patch,Patch,11,2008,3,10,0,4.4,1.2,1.6,0,0,2.3,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
